date,count2019
2019-03-01,45851
2019-03-02,35839
2019-03-03,34178
2019-03-04,25005
2019-03-05,40853
2019-03-06,43113
2019-03-07,38623
2019-03-08,40411
2019-03-09,38359
2019-03-10,35841
2019-03-11,53581
2019-03-12,49249
2019-03-13,48965
2019-03-14,54219
2019-03-15,49469
2019-03-16,45347
2019-03-17,38394
2019-03-18,45482
2019-03-19,44891
2019-03-20,44927
2019-03-21,47868
2019-03-22,49150
2019-03-23,42754
2019-03-24,35927
2019-03-25,43486
2019-03-26,45254
2019-03-27,44742
2019-03-28,45259
2019-03-29,46138
2019-03-30,40451
2019-03-31,35451
2019-04-01,66123
2019-04-02,66354
2019-04-03,68484
2019-04-04,70747
2019-04-05,71872
2019-04-06,57706
2019-04-07,52567
2019-04-08,67869
2019-04-09,67624
2019-04-10,69322
2019-04-11,70505
2019-04-12,69607
2019-04-13,57969
2019-04-14,52010
2019-04-15,69260
2019-04-16,67558
2019-04-17,68859
2019-04-18,69011
2019-04-19,63444
2019-04-20,55756
2019-04-21,50018
2019-04-22,62778
2019-04-23,61681
2019-04-24,63870
2019-04-25,64613
2019-04-26,65258
2019-04-27,56733
2019-04-28,50680
2019-04-29,65575
2019-04-30,64246
2019-05-01,70865
2019-05-02,72137
2019-05-03,71618
2019-05-04,59270
2019-05-05,55506
2019-05-06,69184
2019-05-07,69349
2019-05-08,71396
2019-05-09,71843
2019-05-10,72419
2019-05-11,59402
2019-05-12,58001
2019-05-13,73164
2019-05-14,71359
2019-05-15,71415
2019-05-16,71847
2019-05-17,71144
2019-05-18,59371
2019-05-19,52001
2019-05-20,69159
2019-05-21,68238
2019-05-22,70108
2019-05-23,70713
2019-05-24,68384
2019-05-25,56038
2019-05-26,49670
2019-05-27,44667
2019-05-28,66524
2019-05-29,68555
2019-05-30,70913
2019-05-31,66553
2019-06-01,60894
2019-06-02,52665
2019-06-03,70273
2019-06-04,68921
2019-06-05,71911
2019-06-06,72439
2019-06-07,71337
2019-06-08,59231
2019-06-09,49600
2019-06-10,67247
2019-06-11,69630
2019-06-12,71816
2019-06-13,74561
2019-06-14,72424
2019-06-15,59298
2019-06-16,51308
2019-06-17,70432
2019-06-18,73372
2019-06-19,72098
2019-06-20,74067
2019-06-21,72785
2019-06-22,57419
2019-06-23,50980
2019-06-24,69058
2019-06-25,70679
2019-06-26,71188
2019-06-27,69925
2019-06-28,67683
2019-06-29,56556
2019-06-30,48156
