date2020,count2020,positive
2020-03-01,44800,0
2020-03-02,65168,0
2020-03-03,68632,1
2020-03-04,69476,1
2020-03-05,69880,3
2020-03-06,67153,25
2020-03-07,50052,36
2020-03-08,42517,60
2020-03-09,63384,88
2020-03-10,61867,151
2020-03-11,62381,195
2020-03-12,61250,251
2020-03-13,58889,353
2020-03-14,40668,517
2020-03-15,31959,648
2020-03-16,45625,942
2020-03-17,39302,1374
2020-03-18,36151,2383
2020-03-19,33596,4152
2020-03-20,32910,7102
2020-03-21,22765,10356
2020-03-22,14668,15168
2020-03-23,24204,20875
2020-03-24,21090,25665
2020-03-25,20451,30810
2020-03-26,20442,37258
2020-03-27,21060,44637
2020-03-28,15132,52318
2020-03-29,10186,59513
2020-03-30,18325,66497
2020-03-31,17125,75795
2020-04-01,17926,83712
2020-04-02,16999,92381
2020-04-03,18522,102863
2020-04-04,12732,113704
2020-04-05,8747,122031
2020-04-06,16942,130689
2020-04-07,15978,138863
2020-04-08,16043,149316
2020-04-09,14787,159937
2020-04-10,15590,170512
2020-04-11,12411,180458
2020-04-12,8436,188694
2020-04-13,16288,195031
2020-04-14,16002,202208
2020-04-15,16177,213779
2020-04-16,16618,222284
2020-04-17,18758,229642
2020-04-18,13264,236732
2020-04-19,9626,242786
2020-04-20,18022,247512
2020-04-21,17103,251690
2020-04-22,18436,257216
2020-04-23,18425,263460
2020-04-24,20122,271590
2020-04-25,14988,282143
2020-04-26,10703,288045
2020-04-27,19543,291996
2020-04-28,19553,295106
2020-04-29,20449,299691
2020-04-30,20590,304372
2020-05-01,24246,308314
2020-05-02,18639,312977
2020-05-03,14377,316415
2020-05-04,23615,318953
2020-05-05,22456,321192
2020-05-06,22825,323978
2020-05-07,22875,327469
2020-05-08,24714,330407
2020-05-09,18349,333122
2020-05-10,16535,335395
2020-05-11,23643,337055
2020-05-12,22798,338485
2020-05-13,24229,340661
2020-05-14,23881,343051
2020-05-15,26425,345813
2020-05-16,20094,348232
2020-05-17,15821,350121
2020-05-18,25199,351371
2020-05-19,24410,352845
2020-05-20,25883,354370
2020-05-21,25312,356458
2020-05-22,27286,358154
2020-05-23,20273,359926
2020-05-24,18086,361515
2020-05-25,20318,362764
2020-05-26,27400,363836
2020-05-27,27684,364965
2020-05-28,27110,366733
2020-05-29,28379,368284
2020-05-30,23392,369660
2020-05-31,19524,370770
2020-06-01,29834,371711
2020-06-02,26118,373040
2020-06-03,27505,374085
2020-06-04,27979,375133
2020-06-05,28727,376208
2020-06-06,21305,377316
2020-06-07,18722,378097
2020-06-08,31724,378799
2020-06-09,32110,379482
2020-06-10,33479,380156
2020-06-11,31975,380892
2020-06-12,34528,381714
2020-06-13,26921,382630
2020-06-14,21329,383324
2020-06-15,32966,383944
2020-06-16,32161,384575
2020-06-17,33368,385142
2020-06-18,33532,385760
2020-06-19,35125,386556
2020-06-20,28054,387272
2020-06-21,23302,387936
2020-06-22,36900,388488
2020-06-23,35850,389085
2020-06-24,36509,389666
2020-06-25,36050,390415
2020-06-26,37655,391220
2020-06-27,29040,391923
2020-06-28,23562,392539
2020-06-29,37264,392930
2020-06-30,36260,393454
