date,count2019
2019-3-1,2313
2019-3-2,2104
2019-3-3,2237
2019-3-4,1963
2019-3-5,2733
2019-3-6,2840
2019-3-7,2876
2019-3-8,2874
2019-3-9,2372
2019-3-10,2082
2019-3-11,2731
2019-3-12,2497
2019-3-13,2754
2019-3-14,2850
2019-3-15,2863
2019-3-16,2581
2019-3-17,2395
2019-3-18,2676
2019-3-19,2781
2019-3-20,2849
2019-3-21,2372
2019-3-22,2590
2019-3-23,2526
2019-3-24,2393
2019-3-25,2508
2019-3-26,2464
2019-3-27,2671
2019-3-28,2879
2019-3-29,2796
2019-3-30,2465
2019-3-31,2351
2019-4-1,2353
2019-4-2,2931
2019-4-3,2760
2019-4-4,2974
2019-4-5,2564
2019-4-6,2236
2019-4-7,2457
2019-4-8,2924
2019-4-9,2685
2019-4-10,2669
2019-4-11,2818
2019-4-12,2842
2019-4-13,2682
2019-4-14,2234
2019-4-15,2711
2019-4-16,3075
2019-4-17,2900
2019-4-18,2872
2019-4-19,2783
2019-4-20,2420
2019-4-21,2478
2019-4-22,2507
2019-4-23,3031
2019-4-24,2690
2019-4-25,2818
2019-4-26,2410
2019-4-27,2550
2019-4-28,2175
2019-4-29,2869
2019-4-30,2626
2019-5-1,2785
2019-5-2,2829
2019-5-3,2563
2019-5-4,2634
2019-5-5,2053
2019-5-6,2862
2019-5-7,3007
2019-5-8,2736
2019-5-9,2708
2019-5-10,3043
2019-5-11,2318
2019-5-12,2020
2019-5-13,2394
2019-5-14,2640
2019-5-15,2784
2019-5-16,2752
2019-5-17,2867
2019-5-18,2361
2019-5-19,2221
2019-5-20,2654
2019-5-21,2621
2019-5-22,2774
2019-5-23,2501
2019-5-24,2760
2019-5-25,2400
2019-5-26,1980
2019-5-27,2332
2019-5-28,2542
2019-5-29,2247
2019-5-30,2493
2019-5-31,2674
2019-6-1,2333
2019-6-2,2141
2019-6-3,2716
2019-6-4,2744
2019-6-5,2573
2019-6-6,2618
2019-6-7,2771
2019-6-8,2180
2019-6-9,2241
2019-6-10,2102
2019-6-11,2518
2019-6-12,2669
2019-6-13,2387
2019-6-14,2813
2019-6-15,2287
2019-6-16,2315
2019-6-17,2694
2019-6-18,2659
2019-6-19,2842
2019-6-20,2685
2019-6-21,2782
2019-6-22,2556
2019-6-23,2591
2019-6-24,3076
2019-6-25,2930
2019-6-26,3063
2019-6-27,2848
2019-6-28,3188
2019-6-29,2468
2019-6-30,2469
2019-7-1,2781
2019-7-2,2799
2019-7-3,2816
2019-7-4,2656
2019-7-5,2561
2019-7-6,2160
2019-7-7,2458
2019-7-8,3207
2019-7-9,3238
2019-7-10,3182
2019-7-11,2735
2019-7-12,2900
2019-7-13,2793
2019-7-14,2541
2019-7-15,3033
2019-7-16,2946
2019-7-17,2714
2019-7-18,2450
2019-7-19,3024
2019-7-20,2602
2019-7-21,2449
2019-7-22,2449
2019-7-23,2507
2019-7-24,2979
2019-7-25,3103
2019-7-26,3016
2019-7-27,2636
2019-7-28,2624
2019-7-29,2925
2019-7-30,2823
2019-7-31,2599
2019-8-1,2825
2019-8-2,3334
2019-8-3,2582
2019-8-4,2463
2019-8-5,3195
2019-8-6,2964
2019-8-7,2610
2019-8-8,2988
2019-8-9,3394
2019-8-10,3282
2019-8-11,2844
2019-8-12,3207
2019-8-13,3283
2019-8-14,2996
2019-8-15,3198
2019-8-16,3704
2019-8-17,2930
2019-8-18,2668
2019-8-19,3004
2019-8-20,3358
2019-8-21,3128
2019-8-22,3143
2019-8-23,2927
2019-8-24,2731
2019-8-25,2533
2019-8-26,2975
2019-8-27,3250
2019-8-28,3015
2019-8-29,3123
2019-8-30,3482
2019-8-31,2626
2019-9-1,2389
2019-9-2,2662
2019-9-3,3102
2019-9-4,3109
2019-9-5,2872
2019-9-6,2725
2019-9-7,2533
2019-9-8,2842
2019-9-9,3046
2019-9-10,3345
2019-9-11,3242
2019-9-12,3139
2019-9-13,3227
2019-9-14,3009
2019-9-15,2822
2019-9-16,3000
2019-9-17,2834
2019-9-18,2861
2019-9-19,3159
2019-9-20,3561
2019-9-21,2500
2019-9-22,2106
2019-9-23,3207
2019-9-24,3122
2019-9-25,3147
2019-9-26,3188
2019-9-27,3368
2019-9-28,2977
2019-9-29,2552
2019-9-30,3235
2019-10-1,3509
2019-10-2,3382
2019-10-3,3174
2019-10-4,3316
2019-10-5,3004
2019-10-6,2697
2019-10-7,3250
2019-10-8,3201
2019-10-9,2938
2019-10-10,2821
2019-10-11,2687
2019-10-12,2721
2019-10-13,2447
2019-10-14,3401
2019-10-15,3557
2019-10-16,3347
2019-10-17,3225
2019-10-18,3619
2019-10-19,3154
2019-10-20,2820
2019-10-21,3508
2019-10-22,3465
2019-10-23,3635
2019-10-24,3597
2019-10-25,3592
2019-10-26,3014
2019-10-27,2738
2019-10-28,3289
2019-10-29,3137
2019-10-30,3203
2019-10-31,3042
