date2020,count2020,positive
2020-3-1,2970,0
2020-3-2,3550,0
2020-3-3,3535,1
2020-3-4,3495,1
2020-3-5,3630,3
2020-3-6,3513,25
2020-3-7,3170,36
2020-3-8,3177,60
2020-3-9,3544,88
2020-3-10,3499,151
2020-3-11,3586,195
2020-3-12,3598,251
2020-3-13,3507,353
2020-3-14,3186,517
2020-3-15,3013,648
2020-3-16,3370,942
2020-3-17,3330,1374
2020-3-18,3215,2383
2020-3-19,3084,4152
2020-3-20,2763,7102
2020-3-21,2099,10356
2020-3-22,1917,15168
2020-3-23,1933,20875
2020-3-24,1890,25665
2020-3-25,1501,30810
2020-3-26,1367,37258
2020-3-27,1304,44637
2020-3-28,1092,52318
2020-3-29,1015,59513
2020-3-30,1028,66497
2020-3-31,1065,75795
2020-4-1,836,83712
2020-4-2,705,92381
2020-4-3,721,102863
2020-4-4,627,113704
2020-4-5,614,122031
2020-4-6,532,130689
2020-4-7,485,138863
2020-4-8,512,149316
2020-4-9,462,159937
2020-4-10,461,170512
2020-4-11,368,180458
2020-4-12,352,188694
2020-4-13,307,195031
2020-4-14,414,202208
2020-4-15,378,213779
2020-4-16,340,222284
2020-4-17,330,229642
2020-4-18,271,236732
2020-4-19,264,242786
2020-4-20,269,247512
2020-4-21,337,251690
2020-4-22,345,257216
2020-4-23,365,263460
2020-4-24,352,271590
2020-4-25,293,282143
2020-4-26,265,288045
2020-4-27,287,291996
2020-4-28,388,295106
2020-4-29,382,299691
2020-4-30,369,304372
2020-5-1,351,308314
2020-5-2,300,312977
2020-5-3,300,316415
2020-5-4,282,318953
2020-5-5,378,321192
2020-5-6,350,323978
2020-5-7,376,327469
2020-5-8,375,330407
2020-5-9,334,333122
2020-5-10,307,335395
2020-5-11,286,337055
2020-5-12,371,338485
2020-5-13,392,340661
2020-5-14,410,343051
2020-5-15,393,345813
2020-5-16,345,348232
2020-5-17,316,350121
2020-5-18,326,351371
2020-5-19,376,352845
2020-5-20,431,354370
2020-5-21,458,356458
2020-5-22,440,358154
2020-5-23,356,359926
2020-5-24,336,361515
2020-5-25,337,362764
2020-5-26,339,363836
2020-5-27,432,364965
2020-5-28,454,366733
2020-5-29,433,368284
2020-5-30,377,369660
2020-5-31,400,370770
2020-6-1,415,371711
2020-6-2,496,373040
2020-6-3,529,374085
2020-6-4,589,375133
2020-6-5,584,376208
2020-6-6,531,377316
2020-6-7,577,378097
2020-6-8,567,378799
2020-6-9,627,379482
2020-6-10,643,380156
2020-6-11,697,380892
2020-6-12,676,381714
2020-6-13,586,382630
2020-6-14,605,383324
2020-6-15,602,383944
2020-6-16,657,384575
