date,count2019
2019-3-1,5734121
2019-3-2,2937879
2019-3-3,2401986
2019-3-4,4449932
2019-3-5,5921336
2019-3-6,5941894
2019-3-7,5991252
2019-3-8,5882552
2019-3-9,3295482
2019-3-10,2164013
2019-3-11,5639104
2019-3-12,5988122
2019-3-13,6052574
2019-3-14,6041526
2019-3-15,5883882
2019-3-16,3420493
2019-3-17,2646104
2019-3-18,5523358
2019-3-19,5859589
2019-3-20,5965296
2019-3-21,5828625
2019-3-22,5660408
2019-3-23,3265096
2019-3-24,2614457
2019-3-25,5548688
2019-3-26,5901767
2019-3-27,5986433
2019-3-28,6042975
2019-3-29,5828638
2019-3-30,3461120
2019-3-31,2507676
2019-4-1,5651748
2019-4-2,5992895
2019-4-3,6121022
2019-4-4,6136451
2019-4-5,5898109
2019-4-6,3520230
2019-4-7,2763961
2019-4-8,5647800
2019-4-9,6008025
2019-4-10,6076179
2019-4-11,6074337
2019-4-12,5891257
2019-4-13,3523645
2019-4-14,2711778
2019-4-15,5650040
2019-4-16,6075484
2019-4-17,6179382
2019-4-18,6078376
2019-4-19,4967091
2019-4-20,3082899
2019-4-21,2543616
2019-4-22,5098861
2019-4-23,5624217
2019-4-24,5655701
2019-4-25,5728748
2019-4-26,5295871
2019-4-27,3407004
2019-4-28,2677963
2019-4-29,5669550
2019-4-30,5935841
2019-5-1,6066956
2019-5-2,6101423
2019-5-3,5940777
2019-5-4,3464753
2019-5-5,2580606
2019-5-6,5706569
2019-5-7,6028839
2019-5-8,6080665
2019-5-9,6091781
2019-5-10,5806888
2019-5-11,3477099
2019-5-12,2303185
2019-5-13,5551412
2019-5-14,5985967
2019-5-15,6103600
2019-5-16,6167505
2019-5-17,5981380
2019-5-18,3613030
2019-5-19,2862137
2019-5-20,5712720
2019-5-21,5992367
2019-5-22,5980608
2019-5-23,5804530
2019-5-24,5942477
2019-5-25,3234641
2019-5-26,2742128
2019-5-27,2702336
2019-5-28,5578477
2019-5-29,5977267
2019-5-30,5971681
2019-5-31,5867595
2019-6-1,3416330
2019-6-2,2740323
2019-6-3,5649647
2019-6-4,5722542
2019-6-5,6024667
2019-6-6,5914381
2019-6-7,5818547
2019-6-8,3531693
2019-6-9,2807350
2019-6-10,5444730
2019-6-11,5853734
2019-6-12,6143192
2019-6-13,5971345
2019-6-14,5865330
2019-6-15,3457807
2019-6-16,2568105
2019-6-17,5572408
2019-6-18,5861447
2019-6-19,5969572
2019-6-20,5926592
2019-6-21,5750826
2019-6-22,3505642
2019-6-23,2846709
2019-6-24,5581673
2019-6-25,5759561
2019-6-26,6067226
2019-6-27,5895423
2019-6-28,5706051
2019-6-29,3422285
2019-6-30,3185730
2019-7-1,5457621
2019-7-2,5576597
2019-7-3,5488145
2019-7-4,2862758
2019-7-5,4103196
2019-7-6,2791700
2019-7-7,2456926
2019-7-8,5300700
2019-7-9,5691264
2019-7-10,5859260
2019-7-11,5835755
2019-7-12,5531776
2019-7-13,3328756
2019-7-14,2578122
2019-7-15,5441537
2019-7-16,5798389
2019-7-17,5798487
2019-7-18,5637973
2019-7-19,5385181
2019-7-20,2945293
2019-7-21,2348985
2019-7-22,5270131
2019-7-23,5444081
2019-7-24,5787894
2019-7-25,5836036
2019-7-26,5530059
2019-7-27,3328606
2019-7-28,2644860
2019-7-29,5290269
2019-7-30,5627007
2019-7-31,5663884
2019-8-1,5670181
2019-8-2,5424539
2019-8-3,3227532
2019-8-4,2655008
2019-8-5,5317947
2019-8-6,5573788
2019-8-7,5606858
2019-8-8,5601227
2019-8-9,5408539
2019-8-10,3217690
2019-8-11,2689863
2019-8-12,5190445
2019-8-13,5413961
2019-8-14,5501967
2019-8-15,5546767
2019-8-16,5264001
2019-8-17,3087398
2019-8-18,2503023
2019-8-19,4971286
2019-8-20,5324936
2019-8-21,5332298
2019-8-22,5302034
2019-8-23,5045794
2019-8-24,3129560
2019-8-25,2545227
2019-8-26,5029782
2019-8-27,5437461
2019-8-28,5479713
2019-8-29,5489858
2019-8-30,5109699
2019-8-31,3152864
2019-9-1,2669805
2019-9-2,2388754
2019-9-3,5415430
2019-9-4,5769264
2019-9-5,5999663
2019-9-6,5886704
2019-9-7,3384239
2019-9-8,2751088
2019-9-9,5810181
2019-9-10,6129336
2019-9-11,6197334
2019-9-12,6220310
2019-9-13,6072583
2019-9-14,3375050
2019-9-15,2765433
2019-9-16,5820210
2019-9-17,6165601
2019-9-18,6264992
2019-9-19,6284973
2019-9-20,6200153
2019-9-21,3556126
2019-9-22,2839125
2019-9-23,5871300
2019-9-24,6237370
2019-9-25,6312918
2019-9-26,6335306
2019-9-27,6115408
2019-9-28,3433763
2019-9-29,2764187
2019-9-30,4987340
2019-10-1,5414099
2019-10-2,6190312
2019-10-3,6257270
2019-10-4,6215560
2019-10-5,3546080
2019-10-6,2753408
2019-10-7,5849129
2019-10-8,5988704
2019-10-9,5154708
2019-10-10,6227283
2019-10-11,6111806
2019-10-12,3471762
2019-10-13,2857441
2019-10-14,4412627
2019-10-15,6036834
2019-10-16,6144586
2019-10-17,6264008
2019-10-18,6204138
2019-10-19,3607590
2019-10-20,2683258
2019-10-21,5760506
2019-10-22,6056123
2019-10-23,6281532
2019-10-24,6382446
2019-10-25,6142993
