date2020,count2020,positive
2020-3-1,2295977,0
2020-3-2,5411090,0
2020-3-3,5636019,1
2020-3-4,5638466,1
2020-3-5,5632519,3
2020-3-6,5362385,25
2020-3-7,2867686,36
2020-3-8,2096117,60
2020-3-9,4989237,88
2020-3-10,5000536,151
2020-3-11,4815512,195
2020-3-12,4335523,251
2020-3-13,3581342,353
2020-3-14,1772644,517
2020-3-15,1234982,648
2020-3-16,2254710,942
2020-3-17,1873651,1374
2020-3-18,1693799,2383
2020-3-19,1483230,4152
2020-3-20,1360238,7102
2020-3-21,674683,10356
2020-3-22,446956,15168
2020-3-23,741714,20875
2020-3-24,775550,25665
2020-3-25,730228,30810
2020-3-26,721562,37258
2020-3-27,689569,44637
2020-3-28,368398,52318
2020-3-29,282601,59513
2020-3-30,562340,66497
2020-3-31,543447,75795
2020-4-1,539415,83712
2020-4-2,514302,92381
2020-4-3,511399,102863
2020-4-4,314659,113704
2020-4-5,244701,122031
2020-4-6,461045,130689
2020-4-7,459688,138863
2020-4-8,452473,149316
2020-4-9,429835,159937
2020-4-10,425620,170512
2020-4-11,278966,180458
2020-4-12,216600,188694
2020-4-13,376888,195031
2020-4-14,453493,202208
2020-4-15,444991,213779
2020-4-16,447191,222284
2020-4-17,460648,229642
2020-4-18,280729,236732
2020-4-19,243249,242786
2020-4-20,456859,247512
2020-4-21,451509,251690
2020-4-22,486749,257216
2020-4-23,479488,263460
2020-4-24,469240,271590
2020-4-25,320622,282143
2020-4-26,240057,288045
2020-4-27,479871,291996
2020-4-28,514659,295106
2020-4-29,507855,299691
2020-4-30,495326,304372
2020-5-1,521263,308314
2020-5-2,355681,312977
2020-5-3,282148,316415
2020-5-4,538744,318953
2020-5-5,549526,321192
2020-5-6,539735,323978
2020-5-7,559896,327469
2020-5-8,557057,330407
2020-5-9,341790,333122
2020-5-10,289951,335395
2020-5-11,542556,337055
2020-5-12,579078,338485
2020-5-13,593769,340661
2020-5-14,597161,343051
2020-5-15,614793,345813
2020-5-16,390048,348232
2020-5-17,310868,350121
2020-5-18,615389,351371
2020-5-19,640385,352845
2020-5-20,651930,354370
2020-5-21,658685,356458
2020-5-22,663490,358154
2020-5-23,363093,359926
2020-5-24,335030,361515
2020-5-25,410515,362764
2020-5-26,677387,363836
2020-5-27,704437,364965
2020-5-28,693442,366733
2020-5-29,679076,368284
2020-5-30,452840,369660
2020-5-31,364967,370770
2020-6-1,711370,371711
2020-6-2,738606,373040
2020-6-3,705364,374085
2020-6-4,755025,375133
2020-6-5,730787,376208
2020-6-6,478981,377316
2020-6-7,387864,378097
2020-6-8,819530,378799
2020-6-9,865952,379482
2020-6-10,884703,380156
2020-6-11,847596,380892
2020-6-12,914933,381714
2020-6-13,565236,382630
2020-6-14,454924,383324
2020-6-15,915032,383944
2020-6-16,954447,384575
2020-6-17,976714,385142
2020-6-18,963886,385760
2020-6-19,996220,386556
2020-6-20,604131,387272
2020-6-21,465255,387936
2020-6-22,1014156,388488
2020-6-23,1067552,389085
2020-6-24,1088961,389666
2020-6-25,1101660,390415
2020-6-26,1114037,391220
2020-6-27,647532,391923
2020-6-28,552210,392539
2020-6-29,1110426,392930
2020-6-30,1139409,393454
2020-7-1,1141425,394079
2020-7-2,1178525,394954
2020-7-3,881894,395872
2020-7-4,592207,396598
2020-7-5,554484,397131
2020-7-6,1103527,397649
2020-7-7,1168306,398237
2020-7-8,1187009,398929
2020-7-9,1219196,399513
2020-7-10,1070679,400299
2020-7-11,691067,401029
2020-7-12,623125,401706
2020-7-13,1193776,402263
2020-7-14,1247905,403175
2020-7-15,1257808,404006
2020-7-16,1258204,404775
2020-7-17,1214306,405551
2020-7-18,780150,406305
2020-7-19,601675,406807
2020-7-20,1159818,407326
2020-7-21,1244237,408181
2020-7-22,1254322,408886
2020-7-23,1226578,409697
2020-7-24,1206695,410450
2020-7-25,831572,411200
2020-7-26,621004,411736
2020-7-27,1197640,412344
2020-7-28,1244396,412878
2020-7-29,1292031,413593
2020-7-30,1272203,414370
2020-7-31,1242860,415014
2020-8-1,847496,415767
2020-8-2,609749,416298
2020-8-3,1266310,416843
2020-8-4,1044501,417589
2020-8-5,1316897,418225
2020-8-6,1328052,418928
2020-8-7,1288821,419642
2020-8-8,837761,420345
2020-8-9,670720,420860
2020-8-10,1266646,421336
2020-8-11,1312976,422003
2020-8-12,1298770,422703
2020-8-13,1285891,423440
2020-8-14,1332474,424167
2020-8-15,860472,424901
2020-8-16,574167,425508
2020-8-17,1276731,425916
2020-8-18,1357538,426571
2020-8-19,1279612,427202
2020-8-20,1388207,427803
2020-8-21,1359156,428512
2020-8-22,883326,429165
2020-8-23,675478,429737
2020-8-24,1287008,430145
2020-8-25,1335212,430774
2020-8-26,1388651,431340
2020-8-27,1363169,432131
2020-8-28,1357225,432767
2020-8-29,778222,433402
2020-8-30,735284,434100
2020-8-31,1384434,434756
2020-9-1,1450101,435510
2020-9-2,1473490,436218
2020-9-3,1517936,437107
2020-9-4,1524387,437971
2020-9-5,1009826,438772
2020-9-6,817420,439501
2020-9-7,865070,440021
2020-9-8,1525328,440578
2020-9-9,1596313,441154
2020-9-10,1535505,441911
2020-9-11,1628880,442791
2020-9-12,1072650,443640
2020-9-13,801455,444365
2020-9-14,1570243,444948
2020-9-15,1643875,445714
2020-9-16,1655270,446366
2020-9-17,1669445,447262
2020-9-18,1659394,448052
2020-9-19,1133278,449038
2020-9-20,828188,449900
2020-9-21,1575634,450473
2020-9-22,1660391,451227
2020-9-23,1701391,451892
2020-9-24,1692925,452847
2020-9-25,1703166,453755
2020-9-26,1102447,454760
2020-9-27,843960,455626
2020-9-28,1453830,456460
2020-9-29,1638674,457649
2020-9-30,1698697,458649
2020-10-1,1770601,460031
2020-10-2,1715381,461629
2020-10-3,1163042,463360
2020-10-4,852680,464582
2020-10-5,1636761,465515
2020-10-6,1723607,466908
2020-10-7,1738352,468268
2020-10-8,1757724,470104
2020-10-9,1741427,471696
2020-10-10,1141881,473143
2020-10-11,843992,474286
2020-10-12,1251013,475315
2020-10-13,1655945,476708
2020-10-14,1773780,477940
2020-10-15,1796230,479400
2020-10-16,1626375,481107
2020-10-17,1170528,482891
2020-10-18,883104,484281
2020-10-19,1661005,485279
2020-10-20,1732064,486480
2020-10-21,1760627,488506
2020-10-22,1769940,490134
2020-10-23,1763456,491771
2020-10-24,1152321,493832
2020-10-25,868976,495464
2020-10-26,1626064,496655
2020-10-27,1752165,498646
2020-10-28,1761237,500677
2020-10-29,1661284,503176
2020-10-30,1678164,505431
